Successfully_communicate_message,3172
Rejuvenation,2997
Piracy,2973
Invention,2874
Hiding_objects,2724
Become_silent,2703
Silencing,2619
Thriving,2465
Complaining,2395
Progress,2358
Surrendering_possession,2342
Chemical-sense_description,2325
Distinctiveness,2321
Excreting,2275
Emotion_directed,2232
Heralding,1933
Catastrophe,1922
Change_event_duration,1919
Recovery,1669
Exclude_member,1592
Importance,1533
Desirability,1481
Smuggling,1442
Proliferating_in_number,1426
Conquering,1416
Corroding_caused,1363
Soaking,1241
Cause_to_be_sharp,1212
Forgoing,1175
Friction,1146
Weather,1142
Detaching,1063
Revenge,1035
Elusive_goal,994
Becoming_detached,910
Corporal_punishment,722
Pardon,655
Posing_as,652
Corroding,502
Extradition,498
Renunciation,460
Congregating,460
Hair_configuration,449
Contrition,358
Disembarking,312
Undressing,287
Abundance,279
Emotion_heat,264
Forging,251
Waver_between_options,144
Cause_to_be_dry,132
Giving_in,127
Referring_by_name,105
Omen,77
